id,technology,country.name,level,renewable,energy.source,producing.country,consuming.country,status,name,show
701,ZIrEPSOLNUPVstru,Zimbabwe,Distributed Generation,Renewable,Solar PV,Zimbabwe,Zimbabwe,New Uncommitted,PV with 1h Battery (roof top - rural),yes
702,ZIrEPSOLNUPVstru2,Zimbabwe,Distributed Generation,Renewable,Solar PV,Zimbabwe,Zimbabwe,New Uncommitted,PV with 2h Battery (roof top - rural),yes
703,ZIrEPSOLNUPVut,Zimbabwe,Centralised Generation,Renewable,Solar PV,Zimbabwe,Zimbabwe,New Uncommitted,Solar PV (utility),yes
704,ZIrEPTSONUTH,Zimbabwe,Centralised Generation,Renewable,Solar Thermal,Zimbabwe,Zimbabwe,New Uncommitted,Solar thermal no storage,yes
705,ZIrEPTSONUTHst,Zimbabwe,Centralised Generation,Renewable,Solar Thermal,Zimbabwe,Zimbabwe,New Uncommitted,Solar thermal with Storage,yes
706,ZIrEPWNDNU25,Zimbabwe,Centralised Generation,Renewable,Wind,Zimbabwe,Zimbabwe,New Uncommitted,Bulk Wind (20% CF),yes
707,ZIrEPWNDNU30,Zimbabwe,Centralised Generation,Renewable,Wind,Zimbabwe,Zimbabwe,New Uncommitted,Bulk Wind (30% CF),yes
708,ZIrERural,Zimbabwe,Demand,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Rural,yes
709,ZIrETrans,Zimbabwe,Transmission (local),N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Local,no
710,ZIrEUrban,Zimbabwe,Demand,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Urban/Services/Small Industry,yes
711,ZIrEXelc,Zimbabwe,Export,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Electricity Export,no
712,ZIrGas,Zimbabwe,Energy Source,Not renewable,Gas,Zimbabwe,Zimbabwe,N/A,Gas,yes
713,ZIrIMIelc,Zimbabwe,Import,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Electricity Import,no
714,ZIrNuclear,Zimbabwe,Energy Source,Not renewable,Nuclear,Zimbabwe,Zimbabwe,N/A,Nuclear,yes
715,ZIrOHF,Zimbabwe,Energy Source,Not renewable,OHF,Zimbabwe,Zimbabwe,N/A,OHF,yes
716,ZIrOil,Zimbabwe,Energy Source,Not renewable,Oil,Zimbabwe,Zimbabwe,N/A,Oil,yes
717,DemTech,Main,DemTech,N/A,DemTech,Main,Main,N/A,N/A,no
