id,technology,country.name,level,renewable,energy.source,producing.country,consuming.country,status,name,show
422,NArEPODSNUurb,Namibia,Distributed Generation,Not renewable,Oil,Namibia,Namibia,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
423,NArEPOHFNU,Namibia,Centralised Generation,Not renewable,Oil,Namibia,Namibia,New Uncommitted,HFO,yes
424,NArEPSOLNUPVrt,Namibia,Distributed Generation,Renewable,Solar PV,Namibia,Namibia,New Uncommitted,Solar PV (roof top - urban),yes
425,NArEPSOLNUPVrtru,Namibia,Distributed Generation,Renewable,Solar PV,Namibia,Namibia,New Uncommitted,Solar PV (roof top - rural),yes
426,NArEPSOLNUPVst,Namibia,Distributed Generation,Renewable,Solar PV,Namibia,Namibia,New Uncommitted,PV with 1hr Battery (roof top - urban),yes
427,NArEPSOLNUPVst2,Namibia,Distributed Generation,Renewable,Solar PV,Namibia,Namibia,New Uncommitted,PV with 2hr Battery (roof top - urban),yes
428,NArEPSOLNUPVstru,Namibia,Distributed Generation,Renewable,Solar PV,Namibia,Namibia,New Uncommitted,PV with 1h Battery (roof top - rural),yes
429,NArEPSOLNUPVstru2,Namibia,Distributed Generation,Renewable,Solar PV,Namibia,Namibia,New Uncommitted,PV with 2h Battery (roof top - rural),yes
430,NArEPSOLNUPVut,Namibia,Centralised Generation,Renewable,Solar PV,Namibia,Namibia,New Uncommitted,Solar PV (utility),yes
431,NArEPTSONUTH,Namibia,Centralised Generation,Renewable,Solar Thermal,Namibia,Namibia,New Uncommitted,Solar thermal no storage,yes
432,NArEPTSONUTHst,Namibia,Centralised Generation,Renewable,Solar Thermal,Namibia,Namibia,New Uncommitted,Solar thermal with Storage,yes
433,NArEPWNDNU25,Namibia,Centralised Generation,Renewable,Wind,Namibia,Namibia,New Uncommitted,Bulk Wind (20% CF),yes
434,NArEPWNDNU30,Namibia,Centralised Generation,Renewable,Wind,Namibia,Namibia,New Uncommitted,Bulk Wind (30% CF),yes
435,NArERural,Namibia,Demand,N/A,Electricity,Namibia,Namibia,N/A,Rural,yes
436,NArETrans,Namibia,Transmission (local),N/A,Electricity,Namibia,Namibia,N/A,Local,no
437,NArEUrban,Namibia,Demand,N/A,Electricity,Namibia,Namibia,N/A,Urban/Services/Small Industry,yes
438,NArEXelc,Namibia,Export,N/A,Electricity,Namibia,Namibia,N/A,Electricity Export,no
439,NArGas,Namibia,Energy Source,Not renewable,Gas,Namibia,Namibia,N/A,Gas,yes
440,NArIMIelc,Namibia,Import,N/A,Electricity,Namibia,Namibia,N/A,Electricity Import,no
441,NArNuclear,Namibia,Energy Source,Not renewable,Nuclear,Namibia,Namibia,N/A,Nuclear,yes
442,NArOHF,Namibia,Energy Source,Not renewable,OHF,Namibia,Namibia,N/A,OHF,yes
443,NArOil,Namibia,Energy Source,Not renewable,Oil,Namibia,Namibia,N/A,Oil,yes
444,SArBiomass,South Africa,Energy Source,Renewable,Biomass,South Africa,South Africa,N/A,Biomass,yes
445,SArCoal,South Africa,Energy Source,Not renewable,Coal,South Africa,South Africa,N/A,Coal,yes
446,SArCoalCCS,South Africa,Energy Source,Not renewable,CoalCCS,South Africa,South Africa,N/A,CoalCCS,yes
447,SArCrude,South Africa,Energy Source,Not renewable,Crude,South Africa,South Africa,N/A,Crude,yes
448,SArDiesel,South Africa,Energy Source,Not renewable,Diesel,South Africa,South Africa,N/A,Diesel,yes
449,SArEBZ,South Africa,Demand,N/A,Electricity,South Africa,South Africa,N/A,Unserved Energy,yes
450,SArEDist,South Africa,Distribution,N/A,Electricity,South Africa,South Africa,N/A,Heavy Industry,no
451,SArEDistRural,South Africa,Distribution,N/A,Electricity,South Africa,South Africa,N/A,Rural,no
452,SArEDistUrban,South Africa,Distribution,N/A,Electricity,South Africa,South Africa,N/A,Urban/Services/Small Industry,no
453,SArEInd,South Africa,Demand,N/A,Electricity,South Africa,South Africa,N/A,Heavy Industry,yes
454,SArEPBIONU,South Africa,Centralised Generation,Renewable,Biomass,South Africa,South Africa,New Uncommitted,Biomass,yes
455,SArEPCOAEXPFLU,South Africa,Centralised Generation,Not renewable,Coal,South Africa,South Africa,Existing,Existing coal Large,yes
456,SArEPCOAEXPFSU,South Africa,Centralised Generation,Not renewable,Coal,South Africa,South Africa,Existing,Existing coal Small,yes
457,SArEPCOANCSCkus,South Africa,Centralised Generation,Not renewable,Coal,South Africa,South Africa,New Committed,Kusile coal,yes
458,SArEPCOANCSCmed,South Africa,Centralised Generation,Not renewable,Coal,South Africa,South Africa,New Committed,Medupi coal,yes
459,SArEPCOANUSC,South Africa,Centralised Generation,Not renewable,Coal,South Africa,South Africa,New Uncommitted,Supercritical coal,yes
460,SArEPCOCNUCCS,South Africa,Centralised Generation,Not renewable,Coal,South Africa,South Africa,New Uncommitted,Supercritical coal w CCS,yes
461,SArEPGASNUCC,South Africa,Centralised Generation,Not renewable,Gas,South Africa,South Africa,New Uncommitted,CCGT,yes
462,SArEPGASNUOC,South Africa,Centralised Generation,Not renewable,Gas,South Africa,South Africa,New Uncommitted,OCGT,yes
463,SArEPGASNUSO,South Africa,Centralised Generation,Not renewable,Gas,South Africa,South Africa,New Uncommitted,Solar thermal with gas co-firing,yes
464,SArEPGEONU,South Africa,Centralised Generation,Not renewable,Gas,South Africa,South Africa,New Uncommitted,Geothermal,yes
465,SArEPHYDEX,South Africa,Centralised Generation,Renewable,Hydro,South Africa,South Africa,Existing,Hydro,yes
466,SArEPHYDNU,South Africa,Centralised Generation,Renewable,Hydro,South Africa,South Africa,New Uncommitted,Hydro,yes
467,SArEPHYDNUmic,South Africa,Distributed Generation,Renewable,Hydro,South Africa,South Africa,New Uncommitted,Small Hydro,yes
468,SArEPNUCEXPW,South Africa,Centralised Generation,Not renewable,Nuclear,South Africa,South Africa,Existing,PWR nuclear,yes
469,SArEPNUCNUPW,South Africa,Centralised Generation,Not renewable,Nuclear,South Africa,South Africa,New Uncommitted,PWR nuclear,yes
470,SArEPODSEXOC,South Africa,Centralised Generation,Not renewable,Oil,South Africa,South Africa,Existing,OCGT liquid fuels,yes
471,SArEPODSNU,South Africa,Centralised Generation,Not renewable,Oil,South Africa,South Africa,New Uncommitted,Diesel,yes
472,SArEPODSNUind,South Africa,Distributed Generation,Not renewable,Oil,South Africa,South Africa,New Uncommitted,Diesel 100 kW system (industry),yes
473,SArEPODSNUrur,South Africa,Distributed Generation,Not renewable,Oil,South Africa,South Africa,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
474,SArEPODSNUurb,South Africa,Distributed Generation,Not renewable,Oil,South Africa,South Africa,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
475,SArEPOHFNU,South Africa,Centralised Generation,Not renewable,Oil,South Africa,South Africa,New Uncommitted,HFO,yes
476,SArEPPSGEXSP,South Africa,Centralised Generation,Not renewable,Pump Storage,South Africa,South Africa,Existing,Pumped storage,yes
477,SArEPPSGEXST,South Africa,Centralised Generation,Not renewable,Pump Storage,South Africa,South Africa,Existing,Pumped storage,yes
478,SArEPPSGNCSPbra,South Africa,Centralised Generation,Not renewable,Pump Storage,South Africa,South Africa,New Committed,Ingula Pump Storage,yes
